Timestamp, CPU(%), Memory(GB)
2024-12-01 20:34:06, 0.0, 0.173908
2024-12-01 20:34:07, 13.2, 0.144192
2024-12-01 20:34:08, 11.6, 0.101784
2024-12-01 20:34:09, 14.6, 0.0888519
2024-12-01 20:34:10, 5.3, 0.0886307
2024-12-01 20:34:11, 16.2, 0.100605
2024-12-01 20:34:12, 16.5, 0.0992088
2024-12-01 20:34:13, 6.7, 0.096096
2024-12-01 20:34:14, 13.5, 0.0982552
2024-12-01 20:34:15, 31.5, 0.107399
2024-12-01 20:34:16, 36.3, 0.110569
2024-12-01 20:34:17, 38.8, 0.108124
2024-12-01 20:34:18, 36.1, 0.112709
2024-12-01 20:34:19, 12.5, 0.113586
2024-12-01 20:34:20, 45.1, 0.119045
2024-12-01 20:34:21, 12.8, 0.119305
2024-12-01 20:34:22, 5.3, 0.119671
2024-12-01 20:34:23, 25.5, 0.12088
2024-12-01 20:34:24, 26.8, 0.120224
2024-12-01 20:34:25, 4.9, 0.123112
2024-12-01 20:34:26, 38.9, 0.126476
2024-12-01 20:34:27, 40.4, 0.129948
2024-12-01 20:34:28, 36.4, 0.132877
2024-12-01 20:34:29, 14.3, 0.135818
