Timestamp, CPU(%), Memory(GB)
2024-12-01 20:33:51, 14.7, 0.141853
2024-12-01 20:33:52, 15.5, 0.143333
2024-12-01 20:33:53, 16.8, 0.145393
2024-12-01 20:33:54, 17.9, 0.147682
2024-12-01 20:33:55, 16.3, 0.149708
2024-12-01 20:33:56, 21.2, 0.151226
2024-12-01 20:33:57, 33.2, 0.153992
2024-12-01 20:33:58, 35.9, 0.157215
2024-12-01 20:33:59, 42.8, 0.16119
2024-12-01 20:34:00, 41.7, 0.167171
2024-12-01 20:34:01, 21.9, 0.169956
2024-12-01 20:34:02, 11.4, 0.170799
2024-12-01 20:34:03, 12.4, 0.171955
2024-12-01 20:34:04, 11.9, 0.173431
2024-12-01 20:34:05, 12.9, 0.173908
